ID,num_tokens
0,203
0,190
0,190
0,344
0,280
0,173
0,321
0,288
0,327
0,241
0,229
0,245
0,234
0,228
0,265
0,170
0,207
0,239
0,285
0,200
0,231
0,209
0,198
0,218
0,185
0,161
0,164
0,168
0,164
0,187
0,190
0,185
0,182
0,190
0,174
0,185
0,202
0,190
0,311
0,182
0,183
0,193
0,221
0,161
0,155
0,173
0,179
0,189
0,182
0,259
0,189
0,187
0,168
0,192
0,182
0,170
0,187
0,211
0,175
0,177
0,183
0,166
0,161
0,183
0,169
0,176
0,175
0,270
0,168
0,180
0,164
0,179
0,177
0,175
0,180
0,169
0,169
0,175
0,176
0,176
0,174
0,349
0,169
0,155
0,171
0,163
0,167
0,157
0,204
0,175
0,164
0,186
0,166
0,167
0,275
0,219
0,169
0,190
0,178
0,161
0,193
0,173
0,197
0,179
0,169
0,165
0,161
0,168
0,196
0,186
0,213
0,188
0,167
0,157
0,180
0,154
0,168
0,171
0,177
0,189
0,160
0,187
0,170
0,186
0,170
0,158
0,153
0,184
0,198
0,202
0,197
0,175
0,157
0,175
0,160
0,186
0,173
0,191
0,202
0,164
0,201
0,181
0,187
0,158
0,167
0,152
0,161
0,161
0,163
0,172
0,157
0,178
0,167
0,153
0,168
0,155
0,197
0,164
0,168
0,163
0,175
0,174
0,232
0,180
0,162
0,173
0,158
0,154
0,163
0,164
0,165
0,168
0,155
0,165
0,162
0,155
0,163
0,166
0,164
0,167
0,163
0,167
0,158
0,164
0,159
0,159
0,161
0,149
0,154
0,169
0,158
0,164
0,161
0,165
0,244
0,168
0,150
0,173
0,173
0,172
0,157
0,161
0,164
0,159
0,159
0,155
0,169
0,169
0,155
0,175
0,172
0,166
0,247
0,205
0,166
0,190
0,149
0,167
0,174
0,169
0,187
0,175
0,189
0,175
0,163
0,160
0,171
0,188
0,163
0,196
0,156
0,180
0,154
0,171
0,207
0,176
0,167
0,157
0,162
0,178
0,172
0,172
0,172
0,171
0,167
0,163
0,171
0,171
0,191
0,166
0,160
0,167
0,173
0,176
0,172
0,159
0,171
0,177
0,155
0,169
0,169
0,157
0,160
0,191
0,179
0,165
0,163
0,183
0,163
0,152
0,165
0,175
0,155
0,167
0,156
0,173
0,153
0,154
0,160
0,168
0,179
0,177
0,183
0,204
0,170
0,171
0,176
0,151
0,154
0,156
0,154
0,164
0,178
0,159
